127.0.0.1 - - [17/Mar/2025:21:51:19 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/productdetails.jsp HTTP/1.1" 200 22779
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/nice-select/nice-select.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/owl-carousel/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/owl-carousel/owl.theme.default.min.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/linericon/style.css HTTP/1.1" 200 8344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/review-3.png HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/category/s-p1.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/review-2.png HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/review-1.png HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/skrollr.min.js HTTP/1.1" 200 12615
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/product-sm-1.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/js/main.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/mail-script.js HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/jquery.ajaxchimp.min.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/nice-select/jquery.nice-select.min.js HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/product-sm-3.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/product-sm-2.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/product-sm-5.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/product-sm-4.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/product-sm-6.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/product-sm-7.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/product-sm-8.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/img/product/product-sm-9.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/owl-carousel/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79100
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/themify-icons/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/vendors/linericon/fonts/Linearicons-Free.woff2?w118d HTTP/1.1" 200 21780
0:0:0:0:0:0:0:1 - - [17/Mar/2025:21:51:21 +0700] "GET /ATBM/assets/img/Fevicon.png HTTP/1.1" 404 790
